,zip,city,name,alias,state,locale,address,dolflag,branches,ownership,main_campus,state_fips,religious_affiliation,tuition_revenue_per_fte,instructional_expenditure_per_fte,peps_ownership,faculty_salary,online_only
0,35762,Normal,Alabama A & M University,AAMU,AL,12.0,4900 Meridian Street,0,1,1,1,1,,10011.0,6298.0,Public,8610.0,0.0
1,35294-0110,Birmingham,University of Alabama at Birmingham,UAB,AL,12.0,Administration Bldg Suite 1070,0,1,1,1,1,,12052.0,17179.0,Public,12211.0,0.0
2,36117-3553,Montgomery,Amridge University,Southern Christian University  Regions University,AL,12.0,1200 Taylor Rd,0,1,2,1,1,74.0,14365.0,5671.0,Private Nonprofit,5109.0,1.0
3,35899,Huntsville,University of Alabama in Huntsville,UAH  University of Alabama Huntsville,AL,12.0,301 Sparkman Dr,1,1,1,1,1,,9871.0,9461.0,Public,10411.0,0.0
4,36104-0271,Montgomery,Alabama State University,,AL,12.0,915 S Jackson Street,0,1,1,1,1,,9865.0,11082.0,Public,8015.0,0.0
5,35487-0100,Tuscaloosa,The University of Alabama,,AL,12.0,739 University Blvd,1,1,1,1,1,,13885.0,9380.0,Public,11090.0,0.0
6,35010,Alexander City,Central Alabama Community College,,AL,32.0,1675 Cherokee Rd,1,1,1,1,1,,2531.0,7893.0,Public,6773.0,0.0
7,35611,Athens,Athens State University,,AL,31.0,300 N Beaty St,0,1,1,1,1,,7237.0,9639.0,Public,9452.0,0.0
8,36117-3596,Montgomery,Auburn University at Montgomery,AUM||Auburn University at Montgomery|Auburn Montgomery,AL,12.0,7440 East Drive,0,1,1,1,1,,8907.0,7006.0,Public,8823.0,0.0
9,36849,Auburn,Auburn University,,AL,13.0,"Auburn, Alabama",1,1,1,1,1,,16999.0,10041.0,Public,11907.0,0.0
10,35254,Birmingham,Birmingham-Southern College,BSC,AL,12.0,900 Arkadelphia Road,0,1,2,1,1,71.0,9946.0,10898.0,Private Nonprofit,6586.0,0.0
11,36869,Phenix City,Chattahoochee Valley Community College,CVCC,AL,21.0,2602 College Drive,1,1,1,1,1,,1486.0,6171.0,Public,6268.0,0.0
12,36116,Montgomery,South University-Montgomery,,AL,12.0,5355 Vaughn Rd,0,9,3,0,1,,11951.0,7449.0,Proprietary,6153.0,0.0
13,36330-1300,Enterprise,Enterprise State Community College,Enterprise-Ozark Community College   Enterprise State Junior College,AL,32.0,600 Plaza Drive,1,1,1,1,1,,2158.0,6506.0,Public,9427.0,0.0
14,36507-2698,Bay Minette,Coastal Alabama Community College,,AL,32.0,1900 U S Highway 31 South,1,1,1,1,1,,2251.0,6906.0,Public,7837.0,0.0
15,36109-3390,Montgomery,Faulkner University,Faulkner,AL,12.0,5345 Atlanta Hwy,0,1,2,1,1,74.0,13890.0,8310.0,Private Nonprofit,6574.0,0.0
16,35903,Gadsden,Gadsden State Community College,GSCC | Gadsden State | Gadsden Community College,AL,13.0,1001 George Wallace Dr,1,1,1,1,1,,2130.0,6030.0,Public,7250.0,0.0
17,35951,Albertville,New Beginning College of Cosmetology,,AL,32.0,421 Martling Road,0,1,3,1,1,,9499.0,2921.0,Proprietary,,0.0
18,36303-9234,Dothan,George C Wallace Community College-Dothan,WALLACE DOTHAN|WCCD,AL,13.0,1141 Wallace Drive,1,1,1,1,1,,2050.0,8294.0,Public,7050.0,0.0
19,35077-2000,Hanceville,George C Wallace State Community College-Hanceville,Wallace State Community College Wallace State - Hanceville,AL,42.0,801 Main St NW,1,1,1,1,1,,1907.0,6597.0,Public,7142.0,0.0
20,36702-2808,Selma,George C Wallace State Community College-Selma,Wallace Community College Selma,AL,32.0,3000 Earl Goodwin Parkway,1,1,1,1,1,,2491.0,6918.0,Public,6779.0,0.0
21,35209,Birmingham,Herzing University-Birmingham,,AL,21.0,280 West Valley Ave,1,11,2,0,1,,13184.0,5079.0,Private Nonprofit,6744.0,0.0
22,36106-2148,Montgomery,Huntingdon College,,AL,12.0,1500 East Fairview Avenue,0,1,2,1,1,71.0,14072.0,7839.0,Private Nonprofit,7723.0,0.0
23,35630-9977,Florence,Heritage Christian University,,AL,13.0,3625 Helton Dr,0,1,2,1,1,74.0,4602.0,7714.0,Private Nonprofit,5489.0,0.0
24,35811,Huntsville,J. F. Drake State Community and Technical College,Drake State,AL,12.0,3421 Meridian St N,1,1,1,1,1,,1678.0,6617.0,Public,6510.0,0.0
25,36022,Deatsville,J F Ingram State Technical College,ISTC,AL,41.0,5375 Ingram Rd,0,1,1,1,1,,2.0,9192.0,Public,,0.0
26,36265,Jacksonville,Jacksonville State University,,AL,23.0,700 Pelham Road North,1,1,1,1,1,,6983.0,6797.0,Public,7774.0,0.0
27,35215-3098,Birmingham,Jefferson State Community College,Jeff State | JSCC | Jefferson State,AL,12.0,2601 Carson Rd,1,1,1,1,1,,3166.0,5831.0,Public,7555.0,0.0
28,35671,Tanner,John C Calhoun State Community College,Calhoun Community College,AL,13.0,6250 U S Highway 31 N,1,1,1,1,1,,3516.0,5541.0,Public,7418.0,0.0
29,35221-1717,Birmingham,Lawson State Community College,,AL,12.0,3060 Wilson Rd SW,1,1,1,1,1,,1121.0,8826.0,Public,7388.0,0.0
30,35470,Livingston,University of West Alabama,UWA,AL,43.0,Station One,1,1,1,1,1,,7985.0,7978.0,Public,7627.0,0.0
31,36420-1224,Andalusia,Lurleen B Wallace Community College,"Lurleen B. Wallace Community College, LBW Community College, LBWCC",AL,41.0,1000 Dannelly Blvd.,1,1,1,1,1,,1307.0,5967.0,Public,6659.0,0.0
32,36756-3207,Marion,Marion Military Institute,,AL,43.0,1101 Washington St,0,1,1,1,1,,2711.0,5927.0,Public,7169.0,0.0
33,35064-2621,Fairfield,Miles College,,AL,21.0,5500 Myron Massey Blvd,0,1,2,1,1,55.0,4670.0,3907.0,Private Nonprofit,5439.0,0.0
34,36613-2842,Mobile,University of Mobile,University of Mobile,AL,41.0,5735 College Parkway,0,1,2,1,1,75.0,10256.0,8372.0,Private Nonprofit,5790.0,0.0
35,35115-6000,Montevallo,University of Montevallo,,AL,31.0,Station 6001,0,1,1,1,1,,7664.0,12968.0,Public,8549.0,0.0
36,35661,Muscle Shoals,Northwest Shoals Community College,,AL,13.0,800 George Wallace Blvd,1,1,1,1,1,,1471.0,6314.0,Public,7059.0,0.0
37,35632-0001,Florence,University of North Alabama,UNA,AL,13.0,One Harrison Plaza,1,1,1,1,1,,7929.0,7641.0,Public,9049.0,0.0
38,35986,Rainsville,Northeast Alabama Community College,"Northeast, NACC, Northeast Alabama State Junior College, Northeast Alabama State Community College",AL,42.0,138  Highway 35,1,1,1,1,1,,2038.0,6058.0,Public,7473.0,0.0
39,35896,Huntsville,Oakwood University,OU,AL,12.0,7000 Adventist Blvd NW,0,1,2,1,1,95.0,11875.0,8660.0,Private Nonprofit,5758.0,0.0
40,36401,Evergreen,Reid State Technical College,,AL,43.0,100 and Hwy 83,1,1,1,1,1,,1540.0,8559.0,Public,7019.0,0.0
41,36603-5898,Mobile,Bishop State Community College,,AL,12.0,351 North Broad Street,1,1,1,1,1,,1028.0,6883.0,Public,7389.0,0.0
42,35229-2240,Birmingham,Samford University,,AL,21.0,800 Lakeshore Drive,0,1,2,1,1,54.0,20011.0,16196.0,Private Nonprofit,9810.0,0.0
43,36701,Selma,Selma University,,AL,32.0,"1501 Boynton St, Dinkins Hall",0,1,2,1,1,54.0,2186.0,8074.0,Private Nonprofit,,0.0
44,35405-8522,Tuscaloosa,Shelton State Community College,,AL,12.0,9500 Old Greensboro Rd,1,1,1,1,1,,2282.0,5724.0,Public,7216.0,0.0
45,35957-0734,Boaz,Snead State Community College,,AL,32.0,102 Elder Street,1,1,1,1,1,,3251.0,3866.0,Public,7673.0,0.0
46,36688-0002,Mobile,University of South Alabama,,AL,12.0,307 N University Blvd,1,1,1,1,1,,9462.0,10579.0,Public,7764.0,0.0
47,36608-1780,Mobile,Spring Hill College,Springhill|Springhill College|SHC|the Hill,AL,12.0,4000 Dauphin St,0,1,2,1,1,30.0,11783.0,8919.0,Private Nonprofit,5642.0,0.0
48,35401,Tuscaloosa,Stillman College,,AL,12.0,3601 Stillman Boulevard,0,1,2,1,1,66.0,8233.0,5518.0,Private Nonprofit,5415.0,0.0
49,35160,Talladega,Talladega College,,AL,32.0,627 West Battle Street,0,1,2,1,1,76.0,13008.0,2342.0,Private Nonprofit,5951.0,0.0
50,36108-3199,Montgomery,H Councill Trenholm State Community College,Trenholm State,AL,12.0,1225 Air Base Blvd,1,1,1,1,1,,1541.0,6196.0,Public,7119.0,0.0
51,36082-0001,Troy,Troy University,TROY,AL,33.0,University Avenue,1,4,1,1,1,,9503.0,8185.0,Public,7491.0,0.0
52,36088-1920,Tuskegee,Tuskegee University,,AL,32.0,"Kresge Center, 3rd Floor",0,1,2,1,1,,12467.0,15926.0,Private Nonprofit,7309.0,0.0
53,36526-7055,Daphne,United States Sports Academy,"The Academy, America's Sports University",AL,13.0,One Academy Drive,0,1,2,1,1,,15260.0,9402.0,Private Nonprofit,7452.0,0.0
54,35501,Jasper,Bevill State Community College,,AL,32.0,1411 Indiana Avenue,1,1,1,1,1,,2464.0,7308.0,Public,7606.0,0.0
55,99508,Anchorage,University of Alaska Anchorage,UAA,AK,11.0,3211 Providence Drive,1,1,1,1,2,,7723.0,16250.0,Public,9957.0,0.0
56,99645,Palmer,Alaska Bible College,,AK,23.0,248 E Elmwood Ave,0,1,2,1,2,88.0,12387.0,8702.0,Private Nonprofit,,0.0
57,99775,Fairbanks,University of Alaska Fairbanks,UAF,AK,13.0,1731 South Chandalar Drive,1,1,1,1,2,,9518.0,20352.0,Public,10130.0,0.0
58,99801-8697,Juneau,University of Alaska Southeast,,AK,41.0,11066 Auke Lake Way,1,1,1,1,2,,8748.0,18705.0,Public,9091.0,0.0
59,99508,Anchorage,Alaska Pacific University,,AK,11.0,4101 University Dr,0,1,2,1,2,71.0,12345.0,14628.0,Private Nonprofit,7297.0,0.0
60,99664-0889,Seward,Alaska Vocational Technical Center,AVTEC,AK,43.0,PO Box 889,1,1,1,1,2,,9895.0,31891.0,Public,,0.0
61,99508-4103,Anchorage,Charter College,,AK,11.0,"2221 East Norhtern Lights Boulevard, Suite 120",0,1,3,1,2,,6710.0,2637.0,Proprietary,5298.0,0.0
62,99507-1033,Anchorage,Alaska Career College,,AK,11.0,1415 E Tudor Road,1,1,3,1,2,,7926.0,4279.0,Proprietary,5205.0,0.0
63,85716,Tucson,Empire Beauty School-Tucson,,AZ,11.0,3030 E Speedway Blvd,1,10,3,0,4,,10236.0,6329.0,Proprietary,,0.0
64,85051-4063,Phoenix,Carrington College-Phoenix North,Carrington College Phoenix - Formerly Apollo College - Phoenix,AZ,11.0,2149 W Dunlap Avenue,1,5,3,1,4,,14051.0,6176.0,Proprietary,6346.0,0.0
65,85210-5005,Mesa,Carrington College-Mesa,Carrington College-Mesa,AZ,11.0,1001 West Southern Avenue,0,5,3,0,4,,15373.0,8847.0,Proprietary,6782.0,0.0
66,85745-2974,Tucson,Carrington College-Tucson,Carrington College-Tucson,AZ,11.0,201 North Bonita Avenue,0,5,3,0,4,,12959.0,6515.0,Proprietary,6496.0,0.0
67,85712,Tucson,Arizona Academy of Beauty,,AZ,11.0,5631 E Speedway Blvd,1,1,3,1,4,,10162.0,2189.0,Proprietary,,0.0
68,85301-3579,Glendale,Miller-Motte College-Arizona Automotive Institute,AAI,AZ,21.0,6829 N 46th Ave,1,22,3,0,4,,9407.0,3785.0,Proprietary,4610.0,0.0
69,85021,Phoenix,Brookline College-Phoenix,,AZ,11.0,"2445 W. Dunlap Ave., Ste. 100",1,4,3,1,4,,19120.0,6859.0,Proprietary,7230.0,0.0
70,85287,Tempe,Arizona State University Campus Immersion,ASU Tempe,AZ,12.0,University Drive and Mill Avenue,0,16,1,1,4,,20067.0,14362.0,Public,12336.0,0.0
71,85365-8834,Yuma,Arizona Western College,"AWC, A.W.C., AZ Western, AZ Western College, Arizona Western, Yuma/LaPaz Community College District, Yuma/La Paz Counties Community College District",AZ,13.0,2020 S. Avenue 8E,1,1,1,1,4,,1169.0,5249.0,Public,8003.0,0.0
72,85721-0066,Tucson,University of Arizona,The University of Arizona | UArizona | U of A | UofA | UA | University of AZ | Univ. of AZ | The Univ. of AZ,AZ,11.0,1401 E University Blvd,1,1,1,1,4,,15493.0,15353.0,Public,12224.0,0.0
73,85128-9030,Coolidge,Central Arizona College,Pinal County Community College,AZ,41.0,8470 N Overfield Rd,1,1,1,1,4,,693.0,7117.0,Public,7319.0,0.0
74,86403,Lake Havasu City,Charles of Italy Beauty College,,AZ,13.0,"1987 McCulloch Blvd, Suite 205",0,1,3,1,4,,7978.0,4217.0,Proprietary,,0.0
75,85635-2317,Sierra Vista,Cochise County Community College District,Cochise College,AZ,13.0,901 N Colombo Ave,1,1,1,1,4,,1141.0,3195.0,Public,7072.0,0.0
76,85224,Chandler,Empire Beauty School-Chandler,,AZ,11.0,2978 N Alma School Rd #1-3,1,13,3,0,4,,9269.0,7289.0,Proprietary,,0.0
77,85210,Mesa,Avalon Institute-Mesa,,AZ,11.0,2111 S Alma School Rd Ste 21,1,4,3,1,4,,8841.0,3691.0,Proprietary,,0.0
78,85552-0769,Thatcher,Eastern Arizona College,,AZ,33.0,615 N. Stadium Ave.,1,1,1,1,4,,1439.0,5867.0,Public,8273.0,0.0
79,86301-3720,Prescott,Embry-Riddle Aeronautical University-Prescott,Embry Riddle Aeronautical University-Prescott,AZ,13.0,3700 Willow Creek Road,0,2,2,0,4,,31240.0,14495.0,Private Nonprofit,9669.0,0.0
80,85250,Scottsdale,The School of Architecture,Frank Lloyd Wright School of Architecture,AZ,12.0,"7610 E. McDonald Dr, Suite G",0,1,2,1,4,,43145.0,49104.0,Private Nonprofit,4286.0,0.0
81,85302,Glendale,Glendale Community College,,AZ,21.0,6000 W Olive Ave,1,1,1,1,4,,2026.0,7541.0,Public,10269.0,0.0
82,85017,Phoenix,Grand Canyon University,GCU,AZ,11.0,3300 W Camelback Rd,1,1,3,1,4,,11541.0,2367.0,Proprietary,7479.0,0.0
83,85034,Phoenix,GateWay Community College,,AZ,11.0,108 N. 40th Street,1,2,1,1,4,,2347.0,8180.0,Public,9350.0,0.0
84,85202,Mesa,Mesa Community College,,AZ,11.0,1833 W Southern Ave,1,1,1,1,4,,2697.0,7290.0,Public,10272.0,0.0
85,86409-1238,Kingman,Mohave Community College,,AZ,41.0,1971 Jagerson Ave,1,1,1,1,4,,4135.0,6286.0,Public,6630.0,0.0
86,85323,Avondale,Universal Technical Institute of Arizona Inc-Motorcycle Mechanics Institute Division,"Universal Technical Institute of Phoenix, Inc.  Universal Technical Institute   MMI-Phoenix  MMI-AZ",AZ,21.0,"10695 West Pierce Street, Suite 200",1,3,3,1,4,,13080.0,3864.0,Proprietary,5768.0,0.0
87,86556,Tsaile,Dine College,,AZ,43.0,"Route 12, One Circle Drive",0,1,1,1,4,,163.0,6544.0,Public,6503.0,0.0
88,86011-4092,Flagstaff,Northern Arizona University,NAU,AZ,13.0,"1900 S Knoles Dr, Babbitt Administrative Center, Room 200",0,1,1,1,4,,7003.0,7733.0,Public,9585.0,0.0
89,86025-0610,Holbrook,Northland Pioneer College,NPC,AZ,43.0,2251 E. Navajo Blvd.,1,1,1,1,4,,1170.0,8434.0,Public,7265.0,0.0
90,85013,Phoenix,Phoenix College,,AZ,11.0,1202 W Thomas Rd,1,1,1,1,4,,1945.0,7699.0,Public,9778.0,0.0
91,85709-1275,Tucson,Pima Community College,Pima County Community College District,AZ,11.0,4905C East  Broadway Blvd.,1,1,1,1,4,,1988.0,5666.0,Public,8373.0,0.0
92,85712,Tucson,Pima Medical Institute-Tucson,,AZ,11.0,"2121 N Craycroft Road, Bldg 1",1,13,3,1,4,,8657.0,3441.0,Proprietary,5787.0,0.0
93,87110,Albuquerque,Pima Medical Institute-Albuquerque,,NM,11.0,4400 Cutler Avenue NE,0,2,3,1,35,,9462.0,6728.0,Proprietary,5996.0,0.0
94,86301,Prescott,Prescott College,Prescot College | Prescott University | Prescott University | Prescott | PC | Prescott Center for Alternative Education,AZ,13.0,220 Grove Ave,0,1,2,1,4,,14317.0,6073.0,Private Nonprofit,5813.0,0.0
95,85034-1816,Phoenix,Refrigeration School Inc,"The Refrigeration School, RSI",AZ,11.0,4210 E Washington Street,1,1,3,1,4,,18382.0,1852.0,Proprietary,4742.0,0.0
96,85281,Tempe,Rio Salado College,,AZ,12.0,2323 W 14th St,1,1,1,1,4,,3110.0,1971.0,Public,7264.0,0.0
97,85007,Phoenix,Roberto-Venn School of Luthiery,,AZ,11.0,1012 NW Grand Ave,0,1,3,1,4,,16157.0,12409.0,Proprietary,,0.0
98,85256,Scottsdale,Scottsdale Community College,,AZ,41.0,9000 E Chaparral Rd,1,1,1,1,4,,2603.0,9455.0,Public,10327.0,0.0
99,85042,Phoenix,South Mountain Community College,,AZ,11.0,7050 S 24th St,1,1,1,1,4,,1610.0,7638.0,Public,10288.0,0.0
100,85306-3216,Glendale,Arizona Christian University,,AZ,21.0,1 W. Firestorm Way,0,1,2,1,4,88.0,14018.0,4139.0,Private Nonprofit,5432.0,0.0
101,85323,Avondale,Universal Technical Institute of Arizona Inc,Universal Technical Institute - Avondale,AZ,21.0,10695 West Pierce Street,1,6,3,1,4,,16362.0,3310.0,Proprietary,5966.0,0.0
102,86301,Prescott,Yavapai College,,AZ,13.0,1100 E Sheldon St,1,1,1,1,4,,2452.0,7890.0,Public,8423.0,0.0
103,72204,Little Rock,University of Arkansas at Little Rock,UA Little Rock|University of Arkansas-Little Rock|Arkansas Little Rock|,AR,12.0,2801 S University Ave,1,1,1,1,5,,4431.0,9119.0,Public,7892.0,0.0
104,72205-7199,Little Rock,University of Arkansas for Medical Sciences,UAMS,AR,12.0,4301 W Markham,1,1,1,1,5,,16712.0,44584.0,Public,9461.0,0.0
105,72202-6068,Little Rock,Arkansas Baptist College,,AR,12.0,1600 Dr. Martin Luther King Jr. Drive,1,1,2,1,5,54.0,5760.0,5169.0,Private Nonprofit,4972.0,0.0
106,72209,Little Rock,Arkansas Beauty School-Little Rock,,AR,12.0,8521 Geyer Springs Road Unit 30,0,1,3,1,5,,3400.0,1070.0,Proprietary,,0.0
107,72801,Russellville,Arkansas Beauty College,,AR,33.0,109 N Commerce St,0,1,3,1,5,,9694.0,5020.0,Proprietary,,0.0
108,72501,Batesville,Lyon College,,AR,33.0,2300 Highland Road,0,1,2,1,5,66.0,11542.0,20419.0,Private Nonprofit,6017.0,0.0
109,72114,North Little Rock,Arkansas Technical School,,AR,13.0,200 E Washington Ave,0,2,3,1,5,,12617.0,4263.0,Proprietary,,0.0
110,72701,Fayetteville,University of Arkansas,University of Arkansas|Arkansas,AR,13.0,"1125 W Maple St, Administration Bldg 425",1,1,1,1,5,,10000.0,10999.0,Public,10492.0,0.0
111,71601,Pine Bluff,University of Arkansas at Pine Bluff,UAPB,AR,32.0,1200 N University Mail Slot 4789,1,1,1,1,5,,5066.0,12988.0,Public,6100.0,0.0
112,72012-1000,Beebe,Arkansas State University-Beebe,ASU-BEEBE,AR,31.0,1000 Iowa Street,1,1,1,1,5,,1966.0,5069.0,Public,5300.0,0.0
113,72401,Jonesboro,Arkansas State University,"A-State, AState",AR,13.0,"2105 East, Aggie Road",1,1,1,1,5,,4220.0,5974.0,Public,7601.0,0.0
114,72801-2222,Russellville,Arkansas Tech University,ATU|Tech|Arkansas Tech,AR,33.0,"Administration Bldg 200, 1509 N Boulder Ave",1,1,1,1,5,,4400.0,6777.0,Public,6868.0,0.0
115,71656,Monticello,University of Arkansas at Monticello,UAM,AR,33.0,Highway 425 South,1,1,1,1,5,,3869.0,9944.0,Public,5921.0,0.0
116,72076,Jacksonville,Arthur's Beauty College,Arthur's Beauty College,AR,21.0,2600 John Harden Drive,0,2,3,0,5,,9510.0,6875.0,Proprietary,,0.0
117,72210-2827,Little Rock,Baptist Health College Little Rock,BHCLR,AR,12.0,11900 COLONEL GLENN RD STE 1000,1,1,2,1,5,54.0,8594.0,16736.0,Private Nonprofit,7869.0,0.0
118,72455,Pocahontas,Black River Technical College,,AR,32.0,1410 Hwy 304 East,1,1,1,1,5,,1864.0,8741.0,Public,5015.0,0.0
119,72035-0001,Conway,University of Central Arkansas,,AR,13.0,201 Donaghey Ave,1,1,1,1,5,,6527.0,8773.0,Public,7396.0,0.0
120,72034,Conway,Central Baptist College,CBC,AR,13.0,1501 College Avenue,0,1,2,1,5,54.0,8831.0,4392.0,Private Nonprofit,5363.0,0.0
121,71832,De Queen,Cossatot Community College of the University of Arkansas,UA Cossatot,AR,33.0,183 College Drive,1,1,1,1,5,,1824.0,8631.0,Public,5331.0,0.0
122,72450,Paragould,Crowley's Ridge College,,AR,41.0,100 College Dr,0,1,2,1,5,74.0,8390.0,3345.0,Private Nonprofit,5603.0,0.0
123,72335-2204,Forrest City,East Arkansas Community College,,AR,32.0,1700 Newcastle Rd,1,1,1,1,5,,2205.0,6512.0,Public,5369.0,0.0
124,72117,North Little Rock,Paul Mitchell the School-Little Rock,,AR,13.0,4201 E McCain Blvd,0,1,3,1,5,,21067.0,9274.0,Proprietary,,0.0
125,71913,Hot Springs,National Park College,National Park College,AR,23.0,101 College Dr,1,1,1,1,5,,2182.0,8317.0,Public,5465.0,0.0
126,72503-3350,Batesville,University of Arkansas Community College-Batesville,UACCB,AR,33.0,2005 White Drive,1,1,1,1,5,,980.0,6778.0,Public,5087.0,0.0
127,72149-5615,Searcy,Harding University,,AR,32.0,915 E. Market Ave.,1,2,2,1,5,74.0,13836.0,11289.0,Private Nonprofit,7813.0,0.0
128,71999-0001,Arkadelphia,Henderson State University,,AR,32.0,1100 Henderson Street,1,1,1,1,5,,3462.0,7540.0,Public,6756.0,0.0
129,72032-3080,Conway,Hendrix College,,AR,13.0,1600 Washington Ave,0,1,2,1,5,71.0,9706.0,12366.0,Private Nonprofit,8264.0,0.0
130,71901,Hot Springs,Hot Springs Beauty College,,AR,13.0,100 Cones Rd,0,1,3,1,5,,8746.0,4505.0,Proprietary,,0.0
131,71603,Pine Bluff,Jefferson Regional School of Nursing,JR School of Nursing,AR,32.0,1600 West 40th Avenue,1,1,2,1,5,,8102.0,9332.0,Private Nonprofit,7328.0,0.0
132,72761,Siloam Springs,John Brown University,,AR,32.0,2000 W University St,1,1,2,1,5,,10613.0,10223.0,Private Nonprofit,7473.0,0.0
133,72764-7128,Springdale,Career Academy of Hair Design,Leon's Inc. DBA Career Academy of Hair Design,AR,13.0,346 E. Robinson Ave,0,5,3,1,5,,11279.0,4793.0,Proprietary,,0.0
134,72901,Fort Smith,Academy of Salon and Spa,Academy of Salon & Spa,AR,13.0,311 S 16th St,0,1,3,1,5,,12183.0,5232.0,Proprietary,,0.0
135,72301-3829,West Memphis,Arkansas State University Mid-South,ASU Mid-South,AR,21.0,2000 W.  Broadway,1,1,1,1,5,,1905.0,6147.0,Public,4466.0,0.0
136,72316-1109,Blytheville,Arkansas Northeastern College,,AR,33.0,2501 S Division,1,1,1,1,5,,2290.0,8925.0,Public,5136.0,0.0
137,72114-4973,North Little Rock,New Tyler Barber College Inc,,AR,13.0,1221 E 7th St,0,1,3,1,5,,3513.0,3467.0,Proprietary,,0.0
138,72601-5508,Harrison,North Arkansas College,Northark,AR,33.0,1515 Pioneer Drive,1,1,1,1,5,,2446.0,8353.0,Public,5146.0,0.0
139,72764,Springdale,Northwest Technical Institute,NWTI  Northwest Technical Institute  Northwest Vocational-Technical School,AR,13.0,709 S Old Missouri Rd,1,1,1,1,5,,3928.0,14781.0,Public,,0.0
140,71998-0001,Arkadelphia,Ouachita Baptist University,OBU,AR,32.0,410 Ouachita St,0,1,2,1,5,75.0,11210.0,9962.0,Private Nonprofit,6973.0,0.0
141,72104-0816,Malvern,Arkansas State University Three Rivers,ASUTR,AR,31.0,One College Circle,0,1,1,1,5,,2333.0,8221.0,Public,4689.0,0.0
142,72556-0010,Melbourne,Ozarka College,,AR,43.0,218 College Dr,1,1,1,1,5,,1894.0,7491.0,Public,4861.0,0.0
143,72830,Clarksville,University of the Ozarks,Ozarks,AR,33.0,415 N College Ave,0,1,2,1,5,66.0,10008.0,12285.0,Private Nonprofit,6861.0,0.0
144,72110,Morrilton,University of Arkansas Community College-Morrilton,Petit Jean Technical College  Petit Jean College,AR,32.0,1537 University Blvd.,1,1,1,1,5,,1813.0,5731.0,Public,5529.0,0.0
145,72202-3799,Little Rock,Philander Smith University,PSU,AR,12.0,900 W. Daisy Bates Drive,0,1,2,1,5,71.0,5448.0,5274.0,Private Nonprofit,6137.0,0.0
146,72342-0785,Helena,Phillips Community College of the University of Arkansas,Phillips County Community College  PCCUA,AR,33.0,1000 Campus Drive,1,1,1,1,5,,796.0,12091.0,Public,5261.0,0.0
147,71603,Pine Bluff,Southeast Arkansas College,SEARK College,AR,32.0,1900 S Hazel Street,1,1,1,1,5,,2602.0,10044.0,Public,5108.0,0.0
148,71730-4009,El Dorado,University of Aesthetics & Cosmetology,,AR,33.0,460 North Washington,0,1,3,1,5,,13997.0,2476.0,Proprietary,,0.0
149,72118-3347,North Little Rock,University of Arkansas-Pulaski Technical College,UA-Pulaski Tech,AR,13.0,3000 W Scenic Dr,1,1,1,1,5,,3182.0,5635.0,Public,5296.0,0.0
150,71801,Hope,University of Arkansas Hope-Texarkana,UAHT,AR,32.0,2500 S Main,1,2,1,1,5,,1073.0,6839.0,Public,5076.0,0.0
151,71953,Mena,University of Arkansas Community College Rich Mountain,Universtiy of Arkansas Rich Mountain,AR,33.0,1100 College Dr,1,1,1,1,5,,2060.0,5251.0,Public,4261.0,0.0
152,72703,Fayetteville,Paul Mitchell the School-Arkansas,,AR,13.0,4156 N Steele Blvd,0,1,3,1,5,,6338.0,2083.0,Proprietary,,0.0
153,72143,Searcy,Searcy Beauty College,,AR,32.0,1004 S Main St,0,1,3,1,5,,14391.0,1939.0,Proprietary,,0.0
154,72114,N Little Rock,Shorter College,,AR,13.0,604 Locust St,0,1,2,1,5,51.0,26992.0,21625.0,Private Nonprofit,4333.0,0.0
155,72476,Walnut Ridge,Williams Baptist University,,AR,42.0,60 W Fulbright Avenue,0,1,2,1,5,75.0,5566.0,3828.0,Private Nonprofit,5488.0,0.0
156,71731-7010,El Dorado,South Arkansas College,SouthArk,AR,33.0,300 S West Ave,1,1,1,1,5,,1770.0,6111.0,Public,5125.0,0.0
157,71753,Magnolia,Southern Arkansas University Main Campus,,AR,33.0,100 E. University,1,1,1,1,5,,8554.0,6759.0,Public,7371.0,0.0
158,71701-1906,Camden,Southern Arkansas University Tech,SAU Tech | SAUT,AR,42.0,6415 Spellman Road,1,1,1,1,5,,2702.0,11787.0,Public,4515.0,0.0
159,72202-5452,Little Rock,Velvatex College of Beauty Culture,,AR,12.0,1520 Martin Luther King Dr,0,1,3,1,5,,16875.0,2913.0,Proprietary,,0.0
160,72913-3649,Fort Smith,University of Arkansas-Fort Smith,UA Fort Smith; UAFS,AR,13.0,5210 Grand Ave,1,1,1,1,5,,2991.0,9096.0,Public,7228.0,0.0
161,94105,San Francisco,Academy of Art University,,CA,11.0,79 New Montgomery,0,1,3,1,6,,36101.0,15380.0,Proprietary,8256.0,0.0
162,94612,Oakland,Academy of Chinese Culture and Health Sciences,ACCHS,CA,11.0,"1600 Broadway, Ste. 200",0,1,2,1,6,,9856.0,8419.0,Private Nonprofit,,0.0
163,94501,Alameda,College of Alameda,,CA,21.0,555 Ralph Appezzato Memorial Pky,1,1,1,1,6,,915.0,5493.0,Public,11579.0,0.0
164,93454-6399,Santa Maria,Allan Hancock College,,CA,12.0,800 South College Drive,1,1,1,1,6,,871.0,7308.0,Public,9403.0,0.0
